Model run 2021090612Z
Started looking for data at 19:00Z
Data complete at 19:05ZZ - Processing 2021090612Z Run 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

WANGANUI; Thu 09 Sep 2021; Partly cloudy at first, with a few showers developing in the morning. Westerlies, becoming fresh in the morning.; FewShowers; Fine;FewShowers;FewShowers;PartCloudy;
WANGANUI; Fri 10 Sep 2021; A few showers, becoming rain in the afternoon. Strong northwesterlies, becoming fresh in the evening.; Wind; Wind;Wind;Wind;Rain;
WANGANUI; Sat 11 Sep 2021; A few showers, clearing to fine in the afternoon. Southwesterlies, easing to light winds in the afternoon.; FewShowers; FewShowers;FewShowers;PartCloudy;Fine;
WANGANUI; Sun 12 Sep 2021; Partly cloudy. Northwesterlies, becoming fresh for a time.; PartCloudy; Fine;PartCloudy;Cloudy;PartCloudy;
WANGANUI; Mon 13 Sep 2021; Mostly cloudy, then rain developing later. Fresh northwesterlies, becoming strong for a time.; Wind; Cloudy;Wind;Wind;Rain;
WANGANUI; Tue 14 Sep 2021; Showers, easing. Southerlies developing for a time.; FewShowers; Rain;FewShowers;FewShowers;Fine;
WANGANUI; Wed 15 Sep 2021; Partly cloudy. Westerlies developing.; PartCloudy; Fine;Cloudy;PartCloudy;Cloudy;
WANGANUI; Thu 16 Sep 2021; Fine with a few clouds, then isolated showers for a time. Southerly breezes developing for a time.; FewShowers; Fine;PartCloudy;FewShowers;Fine;


MANAWATU; Tue 07 Sep 2021; Cloudy with scattered rain, becoming widespread for a time in the afternoon and evening. Fresh northerlies, rising to strong northwesterlies in the afternoon.; Showers; Cloudy;Cloudy;Showers;Showers;
MANAWATU; Wed 08 Sep 2021; A few showers, becoming rain for a time in the afternoon and evening. Fresh westerlies, easing to a light breeze in the afternoon.; Showers; PartCloudy;Rain;Rain;Fine;
MANAWATU; Thu 09 Sep 2021; Partly cloudy at first, with a few showers developing in the morning. Westerlies, becoming fresh in the morning.; FewShowers; Fine;FewShowers;Wind;Wind;
MANAWATU; Fri 10 Sep 2021; A few showers, becoming rain in the afternoon. Strong northwesterlies.; Wind; Wind;Wind;Wind;Rain;
MANAWATU; Sat 11 Sep 2021; A few showers, clearing to fine in the evening. Fresh westerlies, easing to southwesterly breezes in the morning.; FewShowers; FewShowers;FewShowers;FewShowers;Fine;
MANAWATU; Sun 12 Sep 2021; Mainly fine with isolated showers, clearing, but becoming mostly cloudy. Northwesterlies, becoming fresh for a time.; FewShowers; Fine;FewShowers;Cloudy;PartCloudy;
MANAWATU; Mon 13 Sep 2021; Partly cloudy with isolated showers, becoming rain later. Fresh northwesterlies, becoming strong for a time.; Wind; Cloudy;Wind;PartCloudy;Rain;
MANAWATU; Tue 14 Sep 2021; Rain, easing to isolated showers and fine breaks. Southerlies developing for a time.; Showers; Rain;FewShowers;FewShowers;Fine;
MANAWATU; Wed 15 Sep 2021; Fine with a few clouds. Westerlies developing.; Fine; Fine;PartCloudy;Fine;Cloudy;
MANAWATU; Thu 16 Sep 2021; Fine with a few clouds, then drizzle for a time. Easterly breezes developing.; FewShowers; Fine;Cloudy;Drizzle;Fine;


HOROWHENUA; Tue 07 Sep 2021; Showers, with some heavy for a time in the afternoon and evening. Fresh northerlies, rising to strong northwesterlies in the afternoon.; Showers; Showers;Showers;Wind;Wind;
HOROWHENUA; Wed 08 Sep 2021; Showers, clearing to fine with a few clouds in the afternoon. Westerlies, turning southerly for a time in the afternoon and evening.; Showers; Wind;Showers;Showers;Fine;
